2048-android,uberspot/2048-android
4pdaClient-plus,slartus/4pdaClient-plus
a2dpvolume,jroal/a2dpvolume
abcore,greenaddress/abcore
AddressToGPS,DanielBarnett714/AddressToGPS
aiproute,benjaminaigner/aiproute
akhyou,dulleh/akhyou
amdroid,Dejvino/amdroid
and-bible,mjdenham/and-bible
AndrOBD,fr3ts0n/AndrOBD
AndroidAnalyticalTranslator,xpheres/AndroidAnalyticalTranslator
android-anuto,reloZid/android-anuto
android_packages_apps_UnifiedNlp,microg/android_packages_apps_UnifiedNlp
android-pedometer,bagilevi/android-pedometer
Android-SecretCodes,SimonMarquis/Android-SecretCodes
androidtoken,markmcavoy/androidtoken
androidwisprclient,gjedeer/androidwisprclient
android-xbmcremote,freezy/android-xbmcremote
anewjkuapp,marunjar/anewjkuapp
anstop,jdmonin/anstop
ApkTrack,JusticeRage/ApkTrack
arxiv-mobile,jdeslip/arxiv-mobile
ATimeTracker,netmackan/ATimeTracker
BartRunnerAndroid,dougkeen/BartRunnerAndroid
Baumann_Theme,scoute-dich/Baumann_Theme
Binaural-Beats,GiorgioRegni/Binaural-Beats
BipolAlarm,iexos/BipolAlarm
Blackbulb,fython/Blackbulb
BlitzMail,grote/BlitzMail
blokish,scoutant/blokish
bluetooth-spp-terminal,Sash0k/bluetooth-spp-terminal
bluetoothviewer,janosgyerik/bluetoothviewer
boilr,drpout/boilr
brouter,abrensch/brouter
bubble,nkanaev/bubble
busybox,meefik/busybox
cacert,guardianproject/cacert
calendar-import-export,SufficientlySecure/calendar-import-export
CertTools,netmackan/CertTools
chromadoze,pmarks-net/chromadoze
client-android,PhotoBackup/client-android
cmus-android-remote,jatwigg/cmus-android-remote
cryptfs-password-manager,nelenkov/cryptfs-password-manager
debatekeeper,czlee/debatekeeper
debDroid,scheich/debDroid
derandom,asnelt/derandom
Diaspora-Webclient,voidcode/Diaspora-Webclient
diskusage,IvanVolosyuk/diskusage
divedroid,obale/divedroid
domodroid,domogik/domodroid
dotdash-keyboard-android,agwells/dotdash-keyboard-android
drawable-notepad,szafir1100/drawable-notepad
Drinks,amasciul/Drinks
DroidBeard,rastating/DroidBeard
droidfish,peterosterlund2/droidfish
DroidPersianCalendar,ebraminio/DroidPersianCalendar
DroidShows,ltGuillaume/DroidShows
drumon,tube42/drumon
dscautorename,ciubex/dscautorename
Easy_xkcd,T-Rex96/Easy_xkcd
elementary,ultramega/elementary
EnigmAndroid,vanitasvitae/EnigmAndroid
episodes,jamienicol/episodes
Equate,EvanRespaut/Equate
EternityWallAndroid,RCasatta/EternityWallAndroid
FaceSlim,indywidualny/FaceSlim
FancyPlaces,gabm/FancyPlaces
FasterGPS,Free-Software-for-Android/FasterGPS
FAST,ligi/FAST
FineGeotag,M66B/FineGeotag
flashlight,openintents/flashlight
flashlight,sanbeg/flashlight
Flite-TTS-Engine-for-Android,happyalu/Flite-TTS-Engine-for-Android
fosdem-companion-android,cbeyls/fosdem-companion-android
FRCAndroidWidget,caarmen/FRCAndroidWidget
Freebloks-Android,shlusiak/Freebloks-Android
FreifunkAutoConnectApp,WIStudent/FreifunkAutoConnectApp
gamemasterdice,ge0rg/gamemasterdice
gasflow,mridang/gasflow
gearshift,urandom/gearshift
getChromium,andDevW/getChromium
GfxTablet,rfc2822/GfxTablet
gift-card-guard,brarcher/gift-card-guard
GreenBits,greenaddress/GreenBits
HandyNotes,atd/HandyNotes
HayaiLauncher,seizonsenryaku/HayaiLauncher
holokenmod,queler/holokenmod
hotdeath,jpriebe/hotdeath
hubble_gallery,derekcsm/hubble_gallery
ICSImport,danielegobbetti/ICSImport
ImapNote2,nbenm/ImapNote2
intent-intercept,intrications/intent-intercept
intent_radio,smblott-github/intent_radio
irssiconnectbot,irssiconnectbot/irssiconnectbot
jamendo-android,telecapoland/jamendo-android
jaws,jannispinter/jaws
JumpGo,JTechMe/JumpGo
keepassdroid,bpellin/keepassdroid
kolabnotes-android,konradrenner/kolabnotes-android
LeafPic,HoraApps/LeafPic
library,cgogolin/library
LinuxDayAppAndroid,DocSalvi/LinuxDayAppAndroid
listmyaps,onyxbits/listmyaps
Local-GSM-Backend,n76/Local-GSM-Backend
LocationShare,pR0Ps/LocationShare
LogicalDefence,LukeStonehm/LogicalDefence
loyalty-card-locker,brarcher/loyalty-card-locker
materialistic,hidroh/materialistic
mBrowser,chelovek84/mBrowser
MensaGuthaben,jakobwenzel/MensaGuthaben
meteroid,chaosdorf/meteroid
microchip,mridang/microchip
MifareClassicTool,ikarus23/MifareClassicTool
min-cal-widget,mvmike/min-cal-widget
ministocks,niteshpatel/ministocks
MissedNotificationsReminder,httpdispatch/MissedNotificationsReminder
moneybalance,inguin/moneybalance
mtg-familiar,AEFeinstein/mtg-familiar
muzei-apod,igoralmeida/muzei-apod
muzei,romannurik/muzei
MyExpenses,mtotschnig/MyExpenses
MyHackerspace,fixme-lausanne/MyHackerspace
mylocation,gjedeer/mylocation
MyOwnNotes,aykit/MyOwnNotes
mythmote,pot8oe/mythmote
NetGuard,M66B/NetGuard
network-monitor,caarmen/network-monitor
NominatimGeocoderBackend,microg/NominatimGeocoderBackend
nori,tjg1/nori
nusic,schnatterer/nusic
nztides,jevonlongdell/nztides
oandbackup,jensstein/oandbackup
offline-calendar,SufficientlySecure/offline-calendar
OpenManga,nv95/OpenManga
OpenMapKitAndroid,AmericanRedCross/OpenMapKitAndroid
open-mensa-android,domoritz/open-mensa-android
OpenRedmine,indication/OpenRedmine
opensudoku,romario333/opensudoku
org.openbmap.unifiedNlpProvider,wish7code/org.openbmap.unifiedNlpProvider
OSMonitor,eolwral/OSMonitor
OSRSHelper,ldionmarcil/OSRSHelper
Ouroboros,Luorrak/Ouroboros
Overchan-Android,miku-nyan/Overchan-Android
packlist,nbossard/packlist
padland,mikifus/padland
PapuhWalls,Papuh/PapuhWalls
ParkenDD,jklmnn/ParkenDD
PassAndroid,ligi/PassAndroid
peanutEncryption,goexle/peanutEncryption
Pedometer,j4velin/Pedometer
periodical,arnowelzel/periodical
PhotoPhase,jruesga/PhotoPhase
pinpoi,fvasco/pinpoi
PodListen,einmalfel/PodListen
Point.im-Android,Tishka17/Point.im-Android
Pomfshare,Nyubis/Pomfshare
PortAuthority,aaronjwood/PortAuthority
PortKnocker,xargsgrep/PortKnocker
postcode,palfrey/postcode
pOT-Droid,janoliver/pOT-Droid
prettygoodmusicplayer,smithdtyler/prettygoodmusicplayer
prevo,bpeel/prevo
prim-ftpd,wolpi/prim-ftpd
prism,andviane/prism
privacy-friendly-qr-scanner,SecUSo/privacy-friendly-qr-scanner
privacy-friendly-sudoku,SecUSo/privacy-friendly-sudoku
privacy-friendly-torchlight,SecUSo/privacy-friendly-torchlight
privacypolice,BramBonne/privacypolice
Quran-For-My-Android,frrahat/Quran-For-My-Android
RacketGhost,mrksbrg/RacketGhost
Recurrence,jonasbleyl/Recurrence
reddinator,micwallace/reddinator
ReGeX,phikal/ReGeX
remotekeyboard,onyxbits/remotekeyboard
retrobreaker,m45t3r/retrobreaker
rgb-tool,fasteque/rgb-tool
rpicheck,eidottermihi/rpicheck
satstat,mvglasow/satstat
save-for-offline,JonasCz/save-for-offline
screen-notifications,lkorth/screen-notifications
ScrollSocket,PowerInside/ScrollSocket
scrumchatter,caarmen/scrumchatter
sendreduced,arpruss/sendreduced
SendWithFtp,mtotschnig/SendWithFtp
Sensors2OSC,SensorApps/Sensors2OSC
Sensors2Pd,SensorApps/Sensors2Pd
SensorsSandbox,mustafa01ali/SensorsSandbox
Shaarlier,dimtion/Shaarlier
sharemyposition,sylvek/sharemyposition
shareviahttp,marcosdiez/shareviahttp
ShowsRage,MGaetan89/ShowsRage
Silverfish,stanipintjuk/Silverfish
SimpleBitcoinWidget,hwki/SimpleBitcoinWidget
Simple-Chess-Clock,eldarerathis/Simple-Chess-Clock
SimpleExplorer,DF1E/SimpleExplorer
sipswitch,robert7k/sipswitch
SmartGadget-Android,Sensirion/SmartGadget-Android
SMP,souch/SMP
soundboard,meonwax/soundboard
SoundRecorder,dkim0419/SoundRecorder
SparkleShare-Android,NewProggie/SparkleShare-Android
speech_trainer,wrr/speech_trainer
SpeedMeter,flyingrub/SpeedMeter
stardroid,sky-map-team/stardroid
SuntimesWidget,forrestguice/SuntimesWidget
Swiftnotes,adrianchifor/Swiftnotes
TimisoaraPublicTransport,MihaiBalint/TimisoaraPublicTransport
tinc_gui,Vilbrekin/tinc_gui
Tinfoil-Facebook,velazcod/Tinfoil-Facebook
toposuite-android,hgdev-ch/toposuite-android
traccar-client-android,tananaev/traccar-client-android
trackworktime,mathisdt/trackworktime
trezor-android,trezor/trezor-android
trickytripper,koelleChristian/trickytripper
tripmobile,TripSit/tripmobile
tuiodroid,TobiasSchwirten/tuiodroid
tuner,billthefarmer/tuner
TVHGuide,john-tornblom/TVHGuide
Twidere-Android,TwidereProject/Twidere-Android
uhabits,iSoron/uhabits
UnitConverterUltimate,physphil/UnitConverterUltimate
unix-time-clock-widget,lucasdnd/unix-time-clock-widget
upm-android,adrian/upm-android
vanilla-headphone-detector,vanilla-music/vanilla-headphone-detector
Vector-Pinball,dozingcat/Vector-Pinball
voipms-sms-client,michaelkourlas/voipms-sms-client
Wake-On-Lan,mafrosis/Wake-On-Lan
webTube,martykan/webTube
WhatsAppBetaUpdater,javiersantos/WhatsAppBetaUpdater
WhereYouGo,biylda/WhereYouGo
whohasmystuff,stovocor/whohasmystuff
WIFI_EAP_SIM_Conf,SLoeuillet/WIFI_EAP_SIM_Conf
Wifi-Fixer,Zanshinmu/Wifi-Fixer
wifireminders,glesik/wifireminders
wikipoff,conchyliculture/wikipoff
wpgen,glesik/wpgen
yubioath-android,Yubico/yubioath-android
